Battle Grove ES Removal.xlsm.csv.0  
"Serial Number","Floor Plan #",Floor,"Suite/Room Number",Department,Manufacturer,Model,"Recommendation State","Pallet Number"
CNGC62R0Y3,1-10,1,"NURSE'S OFFICE",0,HP,"COLOR LASERJET 2600",REMOVE,
USGR087957,1-16,1,12,0,HP,"LASERJET 2100",REMOVE,
CNC9C9J53J,1-4,1,"MAIN OFFICE - PRINCIPAL",0,HP,"LASERJET PRO 100 COLOR MFP M175NW",REMOVE,
CNB9BU4N137,1-9,1,"MAIN OFFICE",0,HP,"640 FAX",REMOVE,
CNC9C9J53P,1-5,1,"MAIN OFFICE - ASST. PRINCIPAL",0,HP,"LASERJET PRO 100 COLOR MFP M175NW",REMOVE,
CNFD539111,1-6,1,"MAIN OFFICE - CONFERENCE ROOM",0,HP,"LASERJET 1320",REMOVE,
CNGC62R0Y1,1-14,1,11,0,HP,"COLOR LASERJET 2600N",REMOVE,
CNB1213681,1-2,1,"MAIN OFFICE",0,HP,"COLOR LASERJET CP1215",REMOVE,
CN847F70N904CY,1-11,1,"SMALL CONFERENCE",0,HP,"OFFICEJET 5610",REMOVE,
CNHC71Q5Z3,1-3,1,"MAIN OFFICE",0,HP,"COLOR LASERJET 2600",REMOVE,
USGW181737,1-21,1,"13 - COMPUTER LAB",0,HP,"LASERJET 2100TN",REMOVE,
USGW045690,1-18,1,"13 - COMPUTER LAB",0,HP,"LASERJET 2100TN",REMOVE,
USGW181775,1-17,1,LIBRARY,0,HP,"LASERJET 2100TN",REMOVE,
CNGC62R0Y2,1-20,1,"13 - COMPUTER LAB",0,HP,"COLOR LASERJET 2600N",REMOVE,
CNGC62R0X9,1-23,1,19,0,HP,"COLOR LASERJET 2600",REMOVE,
CNHC6142RS,N/A,1,"NOT ON ORIGINAL ASSESSMENT",,HP,"LASERJET 1320TN",REMOVE,
VNB3M78047,N/A,1,"NOT ON ORIGINAL ASSESSMENT",,HP,"LASERJET PRO P1102W",REMOVE,
Battle Monument Removals.xlsm.csv.0  
"Serial Number","Floor Plan #",Floor,"Suite/Room Number",Department,Manufacturer,Model,"Recommendation State","Pallet Number"
CN03C4Q12K,1-18,1,"117 - CLASSROOM",,HP,"OFFICEJET PRO 8500",REMOVE,
USBNK21748,1-16,1,"117 - CLASSROOM",,HP,"LASERJET 4100 SERIES",REMOVE,
USGW123664,1-19,1,"119 - IEP",,HP,"LASERJET 2100 SERIES",REMOVE,
MY82R591F404ZX,1-23,1,GUIDANCE,,HP,"OFFICEJET J6480 ALL-IN-ONE",REMOVE,
MY3C31N054,1-3,1,"ASSISTANT PRINCIPAL",,HP,"DESKJET 5850",REMOVE,
CNB9M04256,1-17,1,"117 - CLASSROOM",,HP,"LASERJET P2015",REMOVE,
MY521ZR0YH,1-8,1,"105 - CLASSROOM",,HP,"DESKJET 6540",REMOVE,
CN77PJF119,1-15,1,"117 - CLASSROOM",,HP,"PHOTOSMART C4280 ALL-IN-ONE",REMOVE,
M2775600997,1-20,1,"119 - IEP",,SAVIN,8035E,REMOVE,
CN5CC1T1RX,1-4,1,"FRONT OFFICE",,HP,"DESKJET 5940",REMOVE,
Catonsville Alternative Removals.xlsm.csv.0  
"Serial Number","Floor Plan #",Floor,"Suite/Room Number",Manufacturer,Model,"Recommendation State","Pallet Number"
MY46G2R27Y,1-21,1,"7 - CLASSROOM",HP,"DESKJET 6540",REMOVE,
MY4AJ3P289,1-22,1,"8 - SPANISH CLASSROOM",HP,"DESKJET 6540",REMOVE,
41421075309,1-7,1,"MAIN OFFICE - ASSISTANT PRINCIPAL",LEXMARK,Z645,REMOVE,
k9365900850,1-29,1,"HEALTH CLOSET",SAVIN,8035,REMOVE,
VNB4L47026,1-13,1,"MUSIC OFFICE",HP,"LASERJET PRO P1102W",REMOVE,
CNBF126637,1-28,1,"HEALTH OFFICE",HP,"COLOR LASERJET PRO CP1525NW",REMOVE,
USQN389407,1-5,1,"MAIN OFFICE - PRINCIPAL",HP,"LASERJET 1100",REMOVE,
USBXX21493,1-40,1,"CARRIAGE HOUSE - ROOM 2",HP,"LASERJET 4250",MOVE,"WE USED A DIFFERENT ONE"
MY48H3R0Y2,1-19,1,"4 - SOCIAL STUDIES CLASSROOM",HP,"DESKJET 6540",REMOVE,
CNCQ327566,,,"RM 10",HP,"LASERJET 1200",REMOVE,
CN14R3N2R6,1-17,1,"9 - ART LAB",HP,"PHOTOSMART PLUS",REMOVE,
CND1G35214,1-8,1,"MAIN OFFICE - SECRETARY",HP,"LASERJET PRO 200 COLOR M251NW",REMOVE,
MY19I150KQ,,1,"PRINTER GOES WITH LAPTOPS",HP,"PHOTOSMART 1315",REMOVE,
VND3B47988,,1,ISP,HP,"LASERJET 1606",REMOVE,
USBGC14550,1-14,1,"2 - CLASSROOM",HP,"LASERJET 4100",REMOVE,
U61639A3J441523,1-3,1,"MAIN OFFICE LOBBY",BROTHER,INTELLIFAX-4100E,REMOVE,
U61443G6J540930,,,"ROOM 7",BROTHER,"BROTHER HL-52",REMOVE,
MY4AK3P0D2,1-6,1,"MAIN OFFICE - ASSISTANT PRINCIPAL",HP,"DESKJET 6540",REMOVE,
K9365900819,1-32,1,"HALLWAY IN FRONT OF SHOP",SAVIN,8035,REMOVE,
USGR102591,1-1,1,"MAIN OFFICE LOBBY",HP,"LASERJET 2100",REMOVE,
Catonsville HS Removals.xlsm.csv.0  
"Serial Number","Floor Plan #",Floor,"Suite/Room Number",Manufacturer,Model,"Recommendation State","Pallet Number"
USQX027732,1-49,1,"133 - COMPUTER LAB",HP,"LASERJET 4050",REMOVE,
USQX026456,1-33,1,"ADD. OFF. - LOBBY",HP,"LASERJET 4050",REMOVE,
USBDJ00002,1-46,1,"LIBRARY - STORAGE ROOM",HP,"LASERJET 4100",REMOVE,
USRB058363,1-47,1,"LIBRARY - STORAGE ROOM",HP,"LASERJET 4000N",REMOVE,
USEF171438,1-31,1,"ADD. OFF. - ADMIN OFFICE 2",HP,"LASERJET 4000",REMOVE,
J0131701870,1-15,1,"100A - NURSE'S OFFICE",SAVIN,2522,REMOVE,
M5495300083,1-32,1,"ADD. OFF. - LOBBY",SAVIN,9040B,REMOVE,
M5485500169,1-6,1,"MAIN OFFICE - COPY ROOM",SAVIN,9040B,REMOVE,
F2660150482,1-7,1,"MAIN OFFICE - COPY ROOM",GESTETNER,"5309L COPY PRINTER",REMOVE,
CNB9BBFBFW,1-24,1,"104 - CLASSROOM",HP,"LASERJET PRO M1536DNF MFP",REMOVE,
CNGKC58380,1-23,1,"104 - CLASSROOM",HP,"LASERJET 2420",REMOVE,
USBNG43621,1-18,1,"183 - ART OFFICE",HP,"LASERJET 4100",REMOVE,
VND3C38434,1-30,1,"ADD. OFF. - CONFERENCE ROOM",HP,"LASERJET P1505N",REMOVE,
CNBK610409,G-3,G,"CHIEF CUSTODIAN OFFICE",HP,"LASERJET P1505N",REMOVE,
CNDC5261105,G-1,G,"ATHLETIC DIRECTOR OFFICE",HP,"LASERJET 1320",REMOVE,
JRK19392,G-2,G,"ATHLETIC DIRECTOR OFFICE",CANON,IR-1630,REMOVE,
USQB068952,1-17,1,"115 - CRISIS ROOM OFFICE",HP,"LASERJET 4050",REMOVE,
CNBK637299,1-36,1,"ADD. OFF. - ASST. PRINCIPAL HICKMAN",HP,"LASERJET P1505N",REMOVE,
7VVQZK1,1-37,1,LIBRARY,DELL,"COLOR LASER 1320C",REMOVE,
BR2441T19X,1-43,1,"LIBRARY - STORAGE ROOM",HP,"DESKJET 940C",REMOVE,
CN564150P2,1-45,1,"LIBRARY - STORAGE ROOM",HP,"DESKJET 3930",REMOVE,
MY28H4121Y,1-48,1,"LIBRARY - STORAGE ROOM",HP,"PHOTOSMART 7350",REMOVE,
MY8BS921MJ,1-28,1,"106A - OFFICE",HP,"OFFICEJET PRO L7680 ALL-IN-ONE",REMOVE,
BR2441T19X,1-43,1,"LIBRARY - STORAGE ROOM",HP,"DESKJET 940C",REMOVE,
CNFB519938,3-7,3,"312 - CLASSROOM",HP,"LASERJET 1012",REMOVE,
CNBK624615,3-5,3,"316 - CLASSROOM",HP,"LASERJET P1505N",REMOVE,
CNFC53B3DG,3-13,3,"300B - MUSIC",HP,"LASERJET 1320",REMOVE,
PJWY248177,3-1,3,"TEACHER OFFICE BETWEEN 330/331",EPSON,"WORKFORCE 545",REMOVE,
CNBDC73035,3-11,3,"306A - ENGLISH OFFICE",HP,"LASERJET 2300",REMOVE,
USQC081118,3-3,3,"340 - COMPUTER LAB",HP,"LASERJET 4050",REMOVE,
CN93J122F,N/A,N/A,N/A,HP,"DESKJET 695",REMOVE,
