SnmpWalk v1.01 - Copyright (C) 2009 SnmpSoft Company
[ More useful network tools on http://www.snmpsoft.com ]

OID=.1.3.6.1.2.1.17.4.3.1.2.0.0.72.55.196.128, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.1.230.165.178.40, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.4.99.95.238.114, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.5.185.43.70.193, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.11.134.109.25.180, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.12.41.195.26.231, Type=Integer, Value=18
OID=.1.3.6.1.2.1.17.4.3.1.2.0.12.41.205.81.116, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.13.136.125.233.209, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.16.117.53.74.48, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.17.10.242.29.77, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.18.121.127.45.246, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.18.121.127.85.112, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.19.33.196.180.1, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.20.56.204.113.183, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.20.56.207.10.62, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.20.194.195.130.205, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.21.93.0.124.0, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.21.93.0.124.3, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.21.93.0.124.29, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.23.164.173.225.0, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.27.23.235.135.2, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.27.63.176.219.128, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.27.63.177.84.64, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.27.120.68.125.2, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.27.120.68.125.4, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.27.120.68.213.160, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.27.120.130.158.95, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.27.120.130.159.26, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.27.120.130.159.129, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.27.120.130.159.138, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.27.120.130.159.150, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.27.120.130.159.200, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.27.120.181.174.83, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.27.120.181.177.188, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.27.120.181.177.205, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.27.120.181.182.254, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.31.41.231.32.126, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.33.90.213.85.52, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.33.90.213.85.54, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.33.93.117.237.92, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.33.183.12.153.133, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.34.100.245.142.130, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.35.36.10.46.154, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.35.36.10.46.163, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.35.36.10.46.170, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.35.36.10.46.211, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.35.36.10.46.242, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.35.36.10.47.3, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.35.36.10.47.36, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.35.36.10.47.64, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.35.36.10.47.71, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.35.36.10.47.86, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.35.36.10.47.118, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.35.36.10.47.134, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.35.36.10.47.143, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.35.36.10.47.159, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.35.36.10.47.167, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.35.36.10.47.234, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.35.36.10.47.237, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.35.36.10.48.3, Type=Integer, Value=19
OID=.1.3.6.1.2.1.17.4.3.1.2.0.35.36.10.48.20, Type=Integer, Value=19
